24018854	Deficiency of phytochrome B alleviates chilling-induced photoinhibition in rice.	2013	Am J Bot	UNLABELLED: OrderedDict([('@Label', 'UNLABELLED')])
24077074	Root transcript profiling of two Rorippa species reveals gene clusters associated with extreme submergence tolerance.	2013	Plant Physiol	Complete submergence represses photosynthesis and aerobic respiration, causing rapid mortality in most terrestrial plants. However, some plants have evolved traits allowing them to survive prolonged flooding, such as species of the genus Rorippa, close relatives of Arabidopsis (Arabidopsis thaliana). We studied plant survival, changes in carbohydrate and metabolite concentrations, and transcriptome responses to submergence of two species, Rorippa sylvestris and Rorippa amphibia. We exploited the close relationship between Rorippa species and the model species Arabidopsis by using Arabidopsis GeneChip microarrays for whole-genome transcript profiling of roots of young plants exposed to a 24-h submergence treatment or air. A probe mask was used based on hybridization of genomic DNA of both species to the arrays, so that weak probe signals due to Rorippa species/Arabidopsis mismatches were removed. Furthermore, we compared Rorippa species microarray results with those obtained for roots of submerged Arabidopsis plants. Both Rorippa species could tolerate deep submergence, with R. sylvestris surviving much longer than R. amphibia. Submergence resulted in the induction of genes involved in glycolysis and fermentation and the repression of many energy-consuming pathways, similar to the low-oxygen and submergence response of Arabidopsis and rice (Oryza sativa). The qualitative responses of both Rorippa species to submergence appeared roughly similar but differed quantitatively. Notably, glycolysis and fermentation genes and a gene encoding sucrose synthase were more strongly induced in the less tolerant R. amphibia than in R. sylvestris. A comparison with Arabidopsis microarray studies on submerged roots revealed some interesting differences and potential tolerance-related genes in Rorippa species.
24089866	A hyperspectral imaging system for an accurate prediction of the above-ground biomass of individual rice plants.	2013	Rev Sci Instrum	Biomass is an important component of the plant phenomics, and the existing methods for biomass estimation for individual plants are either destructive or lack accuracy. In this study, a hyperspectral imaging system was developed for the accurate prediction of the above-ground biomass of individual rice plants in the visible and near-infrared spectral region. First, the structure of the system and the influence of various parameters on the camera acquisition speed were established. Then the system was used to image 152 rice plants, which selected from the rice mini-core collection, in two stages, the tillering to elongation (T-E) stage and the booting to heading (B-H) stage. Several variables were extracted from the images. Following, linear stepwise regression analysis and 5-fold cross-validation were used to select effective variables for model construction and test the stability of the model, respectively. For the T-E stage, the R(2) value was 0.940 for the fresh weight (FW) and 0.935 for the dry weight (DW). For the B-H stage, the R(2) value was 0.891 for the FW and 0.783 for the DW. Moreover, estimations of the biomass using visible light images were also calculated. These comparisons showed that hyperspectral imaging performed better than the visible light imaging. Therefore, this study provides not only a stable hyperspectral imaging platform but also an accurate and nondestructive method for the prediction of biomass for individual rice plants.
24061417	Two new β-glucosidases from ethanol-fermenting fungus Mucor circinelloides NBRC 4572: enzyme purification, functional characterization, and molecular cloning of the gene.	2013	Appl Microbiol Biotechnol	Two β-glucosidases (BGLs 1 and 2) were purified to homogeneity from the extracellular enzyme preparations of the ethanol-fermenting Mucor circinelloides NBRC 4572 statically grown on rice straw. BGLs 1 and 2 are monomeric glycoproteins whose apparent molecular masses (Ms) are around 78 kDa, which decreased by approximately 10 kDa upon enzymatic deglycosylation. Both BGLs showed similar enzyme characteristics in optimal temperature and pH, stability, and inhibitors. They were active against a wide range of aryl-β-glucosides and β-linked glucose oligosaccharides. Their amino acid sequences shared 81% identity and exhibited less than 60% identity with the known family-3 BGLs. Considering properties such as reduced inhibition by ethanol, glucose, and cellobiose, low transglucosylation activity, wider substrate range, less binding affinity to lignocellulosic materials, and abundant expression, BGL1 is likely to be more suitable for bioethanol production than BGL2 via simultaneous saccharification and fermentation of rice straw with M. circinelloides.
24043853	WRKY76 is a rice transcriptional repressor playing opposite roles in blast disease resistance and cold stress tolerance.	2013	J Exp Bot	OsWRKY76 encodes a group IIa WRKY transcription factor of rice. The expression of OsWRKY76 was induced within 48h after inoculation with rice blast fungus (Magnaporthe oryzae), and by wounding, low temperature, benzothiadiazole, and abscisic acid. Green fluorescent protein-fused OsWRKY76 localized to the nuclei in rice epidermal cells. OsWRKY76 showed sequence-specific DNA binding to the W-box element in vitro and exhibited W-box-mediated transcriptional repressor activity in cultured rice cells. Overexpression of OsWRKY76 in rice plants resulted in drastically increased susceptibility to M. oryzae, but improved tolerance to cold stress. Microarray analysis revealed that overexpression of OsWRKY76 suppresses the induction of a specific set of PR genes and of genes involved in phytoalexin synthesis after inoculation with blast fungus, consistent with the observation that the levels of phytoalexins in the transgenic rice plants remained significantly lower than those in non-transformed control plants. Furthermore, overexpression of OsWRKY76 led to the increased expression of abiotic stress-associated genes such as peroxidase and lipid metabolism genes. These results strongly suggest that OsWRKY76 plays dual and opposing roles in blast disease resistance and cold tolerance.
24043854	A CLE-WOX signalling module regulates root meristem maintenance and vascular tissue development in rice.	2013	J Exp Bot	CLAVATA3 (CLV3)/ENDOSPERM SURROUNDING REGION (ESR)-related (CLE) proteins belong to a small peptide family conserved in plants. Recent studies in Arabidopsis and rice have revealed a key role for CLEs in mediating cell-cell communication and stem cell maintenance during plant development, but how CLE signalling controls root development in the rice remains largely unknown. Here it is shown that exogenous application of a synthetic dodeca-amino acid peptide corresponding to the CLE motif of the rice FON2-LIKE CLE PROTEIN2 (FCP2p) protein or overexpression of FCP2 terminates root apical meristem (RAM) activity and impairs late metaxylem formation. FCP2p treatment suppresses the expression of the rice QUIESCENT-CENTER-SPECIFIC HOMEOBOX (QHB) gene, a putative orthologue of Arabidopsis WUSCHEL (WUS)-RELATED HOMEOBOX 5 (WOX5) gene, in both quiescent centre and late metaxylem cells; whereas inducible overexpression of QHB reduces the sensitivity of rice to FCP2p treatment. These results together suggest that in rice RAM maintenance and late metaxylem development are probably controlled by the mutual regulation between FCP2 and QHB. Moreover, a cross-species peptide treatment experiment in Arabidopsis implies that FCP2 has both evolutionarily conserved and species-specific roles in root development.
24005473	Phenotypic and molecular characterisation of efficient nitrogen-fixing Azotobacter strains from rice fields for crop improvement.	2014	Protoplasma	Biological nitrogen fixation (BNF) is highly effective in the field and potentially useful to reduce adverse effects chemical fertilisers. Here, Azotobacter species were selected via phenotypic, biochemical and molecular characterisations from different rice fields. Acetylene reduction assay of Azotobacter spp. showed that Azotobacter vinelandii (Az3) fixed higher amount of nitrogen (121.09 nmol C2H4 mg(-1) bacteria h(-1)). Likewise, its plant growth functions, viz. siderophore, hydrogen cyanide, salicylic acid, IAA, GA3, zeatin, NH3, phosphorus solubilisation, ACC deaminase and iron tolerance, were also higher. The profile of gDNA, plasmid DNA and cellular protein profile depicted inter-generic and inter-specific diversity among the isolates of A. vinelandii. The PCR-amplified genes nifH, nifD and nifK of 0.87, 1.4 and 1.5 kb , respectively, were ascertained by Southern blot hybridisation in isolates of A. vinelandii. The 16S rRNA sequence from A. vinelandii (Az3) was novel, and its accession number (JQ796077) was received from NCBI data base. Biofertiliser formulation of novel A. vinelandii isolates along with commercial one was evaluated in rice (Oriza sativa L. var. Khandagiri) fields. The present finding revealed that treatment T4 (Az3) (A. vinelandii) are highly efficient to improved growth and yield of rice crop.
24061553	Rice bran extract affects differentiation of mesenchymal stem cells potency into osteogenic cells.	2013	Cytotechnology	As rice bran contains various nutrients and other proteins of which a part has biological effects on animal cells, we tested the effect of rice bran extract on rat mesenchymal stem cells (rMSCs) obtained from bone marrow. These rMSCs are pluripotent and can be readily induced to differentiate into a number of cell types, including bone and cartilage. rMSC was aggregated by culturing in serum-free condition with rice bran extract, but was not aggregated by culturing in serum-free condition or in serum-containing medium. Moreover, the longer aggregates of rMSCs were cultured in serum-free condition with rice bran extract, the more the aggregates grew. After two passages in serum-free conditions, rMSCs lost their potency for differentiation into osteogenic cells; however, the addition of rice bran extract to serum-free medium successfully prevented the loss of this ability for differentiation. In addition, MSC makers CD105 and CD166 gene expression in serum-free condition with rice barn extract corresponded to these expressions in serum-containing medium. This result suggests that certain factors in rice bran could be bioactive and contribute toward retaining the ability of MSCs to differentiate into osteogenic cells after passaging.
24078111	Method for RNA extraction and cDNA library construction from microbes in crop rhizosphere soil.	2014	World J Microbiol Biotechnol	Techniques to analyze the transcriptome of the soil rhizosphere are essential to reveal the interactions and communications between plants and microorganisms in the soil ecosystem. In this study, different volumes of Al₂(SO₄)₃ were added to rhizosphere soil samples to precipitate humic substances, which interfere with most procedures of RNA and DNA analyses. After humic substances were precipitated, cells of soil microorganisms were broken by vortexing with glass beads, and then DNA and RNA were recovered using Tris-HCl buffer with LiCl, SDS, and EDTA. The crude extract was precipitated and dissolved in RNAse-free water, and then separated by agarose gel electrophoresis. We determined the optimum volume of Al₂(SO₄)₃ for treating rhizosphere soil of rice, tobacco, sugarcane, Rehmannia glutinosa, and Pseudostellaria heterophylla. The crude nucleic acids extract from rice soil was treated with DNase I and then RNA was purified using a gel filtration column. The purified RNA was reverse-transcribed into single-strand cDNA and then ligated with an adaptor at each end before amplifying ds cDNA. The ds cDNA was sub-cloned for subsequent gene sequence analysis. We conducted qPCR to amplify 16S ribosomal DNA and observed highly efficient amplification. These results show that the extraction method can be optimized to isolate and obtain high-quality nucleic acids from microbes in different rhizosphere soils, suitable for genomic and post-genomic analyses.
23849113	The endoplasmic reticulum-quality control component SDF2 is essential for XA21-mediated immunity in rice.	2013	Plant Sci	Plant genomes contain large number of plasma membrane (PM)-localized immune receptors, also called pattern recognition receptors (PRRs). PRRs are synthesized in the endoplasmic reticulum (ER) and then translocated to the PM, where they recognize conserved pathogen-associated molecular patterns (PAMPs) and activate innate immune response. The rice XA21 immune receptor confers resistance to the Gram-negative bacterial pathogen, Xanthomonas oryzae pv. oryzae (Xoo). To identify components that mediate XA21-mediated signaling, we performed co-purification experiments using C-terminal GFP tagged XA21 protein. Several endoplasmic reticulum-quality control (ER-QC) proteins including stromal-derived factor 2 (SDF2) co-purified with XA21. Silencing of the SDF2 genes in the XA21 rice genetic background compromises resistance to Xoo but does not affect plant growth and development.
24013899	Effect of submerged and solid-state fermentation on pigment and citrinin production by Monascus purpureus.	2013	Acta Biol Hung	Monascus pigments, which are produced by various species of Monascus, often have been used as a natural colourant and as traditional natural food additives, especially in Southern China, Japan and Southeastern Asia. The limitation of wide using Monascus pigment is attributed to one of its secondary metabolites named citrinin. The aim of this study was to investigate the influence of pigment and citrinin production via submerged fermentation (SmF) and solid-state fermentation (SF) from rice (Oryza sativa L.) by Monascus purpureus AS3.531. The optimal fermentation temperature and pH were significantly different for pigment production through different fermentation mode (35 °C, pH 5.0 for SF and 32 °C, pH 5.5 for SmF, respectively). Adding 2% (w/v) of glycerol in the medium could enhance the pigment production. On the optimized condition, although the concentration of citrinin produced by SmF (19.02 ug/g) increased more than 100 times than that by SF (0.018 ug/g), the pigment yield by SmF (7.93 U/g/g) could be comparable to that by SF (6.63 U/g/g). Those indicate us that fermentation mode seems to be the primary factor which influence the citrinin yield and secondary factor for pigment production.
24024469	Perturbation of Brachypodium distachyon CELLULOSE SYNTHASE A4 or 7 results in abnormal cell walls.	2013	BMC Plant Biol	BACKGROUND: Cellulose is an integral component of the plant cell wall and accounts for approximately forty percent of total plant biomass but understanding its mechanism of synthesis remains elusive. CELLULOSE SYNTHASE A (CESA) proteins function as catalytic subunits of a rosette-shaped complex that synthesizes cellulose at the plasma membrane. Arabidopsis thaliana and rice (Oryza sativa) secondary wall CESA loss-of-function mutants have weak stems and irregular or thin cell walls.

RESULTS: Here, we identify candidates for secondary wall CESAs in Brachypodium distachyon as having similar amino acid sequence and expression to those characterized in A. thaliana, namely CESA4/7/8. To functionally characterize BdCESA4 and BdCESA7, we generated loss-of-function mutants using artificial microRNA constructs, specifically targeting each gene driven by a maize (Zea mays) ubiquitin promoter. Presence of the transgenes reduced BdCESA4 and BdCESA7 transcript abundance, as well as stem area, cell wall thickness of xylem and fibers, and the amount of crystalline cellulose in the cell wall.

CONCLUSION: These results suggest BdCESA4 and BdCESA7 play a key role in B. distachyon secondary cell wall biosynthesis.
24086651	Cell wall degrading enzyme induced rice innate immune responses are suppressed by the type 3 secretion system effectors XopN, XopQ, XopX and XopZ of Xanthomonas oryzae pv. oryzae.	2013	PLoS One	Innate immune responses are induced in plants and animals through perception of Damage Associated Molecular Patterns. These immune responses are suppressed by pathogens during infection. A number of studies have focussed on identifying functions of plant pathogenic bacteria that are involved in suppression of Pathogen Associated Molecular Pattern induced immune responses. In comparison, there is very little information on functions used by plant pathogens to suppress Damage Associated Molecular Pattern induced immune responses. Xanthomonasoryzae pv. oryzae, a gram negative bacterial pathogen of rice, secretes hydrolytic enzymes such as LipA (Lipase/Esterase) that damage rice cell walls and induce innate immune responses. Here, we show that Agrobacterium mediated transient transfer of the gene for XopN, a X. oryzae pv. oryzae type 3 secretion (T3S) system effector, results in suppression of rice innate immune responses induced by LipA. A xopN (-) mutant of X. oryzae pv. oryzae retains the ability to suppress these innate immune responses indicating the presence of other functionally redundant proteins. In transient transfer assays, we have assessed the ability of 15 other X. oryzae pv. oryzae T3S secreted effectors to suppress rice innate immune responses. Amongst these proteins, XopQ, XopX and XopZ are suppressors of LipA induced innate immune responses. A mutation in any one of the xopN, xopQ, xopX or xopZ genes causes partial virulence deficiency while a xopN (-) xopX (-) double mutant exhibits a greater virulence deficiency. A xopN (-) xopQ (-) xopX (-) xopZ (-) quadruple mutant of X. oryzae pv. oryzae induces callose deposition, an innate immune response, similar to a X. oryzae pv. oryzae T3S(-) mutant in rice leaves. Overall, these results indicate that multiple T3S secreted proteins of X. oryzae pv. oryzae can suppress cell wall damage induced rice innate immune responses.
24039714	Stratification requirements for seed dormancy alleviation in a wetland weed.	2013	PLoS One	Echinochloaoryzicola(syn.E. phyllopogon) is an exotic weed of California rice paddies that has evolved resistance to multiple herbicides. Elimination of seedlingsthroughcertain weed control methods can limit the spread of this weed, but is contingent on accurate predictions of germination and emergence timing, which are influenced by seed dormancy levels.In summer annuals, dormancy can often be relieved through stratification, a period of prolonged exposure to cold and moist conditions.We used population-based threshold models to quantify the effects of stratification on seed germination of four E. Oryzicola populations at a range of water potential (Ψ) and oxygen levels. We also determined how stratification temperatures, moisture levels and durations contributed to dormancy release. Stratification released dormancy by decreasing base Ψ and hydrotimerequired for germination and by eliminating any germination sensitivity to oxygen. Stratification also increased average germination rates (GR), which were used as a proxy for relative dormancy levels. Alternating temperatures nearly doubled GR in all populations, indicating that seeds could be partially dormant despite achieving high final germination percentages. Stratification at Ψ = 0 MPa increased GR compared to stratification at lower water potentials, demonstrating that Ψ contributed to regulating dormancy release. Maximum GR occurred after 2-4 weeks of stratification at 0 MPa; GR were often more rapid for herbicide-resistant than for herbicide-susceptible seeds, implying greater dormancy in the latter. Manipulation of field conditions to promote dormancy alleviation of E. oryzicola seeds might improve the rate and uniformity of germination for seed bank depletion through seedling weed control. Our results suggest field soil saturation in winter would contribute towards E. oryzicola dormancy release and decrease the time to seedling emergence.
24102419	Suppression of glycolate oxidase causes glyoxylate accumulation that inhibits photosynthesis through deactivating Rubisco in rice.	2014	Physiol Plant	Glycolate oxidase (GLO) is a key enzyme for photorespiration in plants. Previous studies have demonstrated that suppression of GLO causes photosynthetic inhibition, and the accumulated glycolate with the deactivated Rubisco is likely involved in the regulation. Using isolated Rubisco and chloroplasts, it has been found that only glyoxylate can effectively inactivate Rubisco and meanwhile inhibit photosynthesis, but little in vivo evidence has been acquired and reported. In this study, we have generated the transgenic rice (Oryza sativa) plants with GLO being constitutively silenced, and conducted the physiological and biochemical analyses on these plants to explore the regulatory mechanism. When GLO was downregulated, the net photosynthetic rate (Pn) was reduced and the plant growth was correspondingly stunted. Surprisingly, glyoxylate, as a product of the GLO catalysis, was accumulated in response to the GLO suppression, like its substrate glycolate. Furthermore, the glyoxylate content was found to be inversely proportional to the Pn while the Pn is directly proportional to the Rubisco activation state in the GLO-suppressed plants. A mathematical fitting equation using least square method also demonstrated that the Rubisco activation state was inversely proportional to the glyoxylate content. Despite that the further analyses we have conducted failed to reveal how glyoxylate was accumulated in response to the GLO suppression, the current results do strongly suggest that there may exist an unidentified, alternative pathway to produce glyoxylate, and that the accumulated glyoxylate inhibits photosynthesis by deactivating Rubisco, and causes the photorespiratory phenotype in the GLO-suppressed rice plants.
24043125	Fungal diversity of rice straw for meju fermentation.	2013	J Microbiol Biotechnol	Rice straw is closely associated with meju fermentation and it is generally known that the rice straw provides meju with many kinds of microorganisms. In order to elucidate the origin of meju fungi, the fungal diversity of rice straw was examined. Rice straw was collected from 12 Jang factories where meju are produced, and were incubated under nine different conditions by altering the media (MEA, DRBC, and DG18), and temperature (15°C, 25°C, and 35°C). In total, 937 strains were isolated and identified as belonging to 39 genera and 103 species. Among these, Aspergillus, Cladosporium, Eurotium, Fusarium, and Penicillium were the dominant genera. Fusarium asiaticum (56.3%), Cladosporium cladosporioides (48.6%), Aspergillus tubingensis (37.5%), A. oryzae (31.9%), Eurotium repens (27.1%), and E. chevalieri (25.0%) were frequently isolated from the rice straw obtained from many factories. Twelve genera and 40 species of fungi that were isolated in the rice straw in this study were also isolated from meju. Specifically, A. oryzae, C. cladosporioides, E. chevalieri, E. repens, F. asiaticum, and Penicillium polonicum (11.8%), which are abundant species in meju, were also isolated frequently from rice straw. C. cladosporioides, F. asiaticum, and P. polonicum, which are abundant in the low temperature fermentation process of meju fermentation, were frequently isolated from rice straw incubated at 15°C and 25°C, whereas A. oryzae, E. repens, and E. chevalieri, which are abundant in the high temperature fermentation process of meju fermentation, were frequently isolated from rice straw incubated at 25°C and 35°C. This suggests that the mycobiota of rice straw has a large influence in the mycobiota of meju. The influence of fungi on the rice straw as feed and silage for livestock, and as plant pathogens for rice, are discussed as well.
24073880	Mycosphaerella graminicola LysM effector-mediated stealth pathogenesis subverts recognition through both CERK1 and CEBiP homologues in wheat.	2014	Mol Plant Microbe Interact	Fungal cell-wall chitin is a well-recognized pathogen-associated molecular pattern. Recognition of chitin in plants by pattern recognition receptors activates pathogen-triggered immunity (PTI). In Arabidopsis, this process is mediated by a plasma membrane receptor kinase, CERK1, whereas in rice, a receptor-like protein, CEBiP, in addition to CERK1 is required. Secreted chitin-binding lysin motif (LysM) containing fungal effector proteins, such as Ecp6 from the biotrophic fungus Cladosporium fulvum, have been reported to interfere with PTI. Here, we identified wheat homologues of CERK1 and CEBiP and investigated their role in the interaction with the nonbiotrophic pathogen of wheat Mycosphaerella graminicola (synonym Zymoseptoria tritici). We show that silencing of either CERK1 or CEBiP in wheat, using Barley stripe mosaic virus-mediated virus-induced gene silencing, is sufficient in allowing leaf colonization by the normally nonpathogenic M. graminicola Mg3LysM (homologue of Ecp6) deletion mutant, while the Mg1LysM deletion mutant was fully pathogenic toward both silenced and wild-type wheat leaves. These data indicate that Mg3LysM is important for fungal evasion of PTI in wheat leaf tissue and that both CERK1 and CEBiP are required for activation of chitin-induced defenses, a feature conserved between rice and wheat, and perhaps, also in other cereal species.
24124491	Homologous pairing activities of two rice RAD51 proteins, RAD51A1 and RAD51A2.	2013	PLoS One	In higher eukaryotes, RAD51 functions as an essential protein in homologous recombination and recombinational repair of DNA double strand breaks. During these processes, RAD51 catalyzes homologous pairing between single-stranded DNA and double-stranded DNA. Japonica cultivars of rice (Oryza sativa) encode two RAD51 proteins, RAD51A1 and RAD51A2, whereas only one RAD51 exists in yeast and mammals. However, the functional differences between RAD51A1 and RAD51A2 have not been elucidated, because their biochemical properties have not been characterized. In the present study, we purified RAD51A1 and RAD51A2, and found that RAD51A2 robustly promotes homologous pairing in vitro. RAD51A1 also possesses homologous-pairing activity, but it is only about 10% of the RAD51A2 activity. Both RAD51A1 and RAD51A2 bind to ssDNA and dsDNA, and their DNA binding strictly requires ATP, which modulates the polymer formation activities of RAD51A1 and RAD51A2. These findings suggest that although both RAD51A1 and RAD51A2 have the potential to catalyze homologous pairing, RAD51A2 may be the major recombinase in rice.
24083809	Yusho patients show increased serum IL-17, IL-23, IL-1β, and TNFα levels more than 40 years after accidental polychlorinated biphenyl poisoning.	None	J Immunotoxicol	The Yusho poisoning incident, caused by rice oil contaminated with polychlorinated biphenyls (PCBs), polychlorinated quarterphenyls (PCQs), and polychlorinated dibenzofurans (PCDFs) generated by heat-denatured PCBs, occurred in 1968 in western Japan. Although severe symptoms are rarely observed today, the levels of PCBs and PCDFs in the sera of Yusho patients remain high. The aryl hydrocarbon receptor (AhR), which also acts as a dioxin receptor, is a transcriptional regulator that mediates dioxin toxicity. Recent studies show that dioxin mediates its immune toxic effects via AhR and that AhR activation induces dysregulation of interleukin (IL)-17- producing T (TH17) cells. This study therefore hypothesized that Yusho patients would show dysregulated TH17 cell-mediated immune responses. To validate the hypothesis, levels of IL-17 and IL-22, each secreted by TH17 cells, along with IL-1β and IL-23 were measured in serum samples from 40 Yusho patients and 40 age-matched controls. Levels of tumor necrosis factor (TNF)-α potentially secreted by TH17 cell-stimulated neutrophils and macrophages were also measured. The results indicated that serum IL-17 levels, as well as those of IL-1β, IL-23, and TNFα, were significantly higher in Yusho patients than in controls. In contrast, serum IL-22 levels were significantly lower in the Yusho patients. These results suggest that Yusho patients have dysregulated TH17 cell-mediated immune responses that may be linked to inflammation.
24134674	Cellular localization and kinetics of the rice melatonin biosynthetic enzymes SNAT and ASMT.	2014	J Pineal Res	Serotonin N-acetyltransferase (SNAT) and N-acetylserotonin methyltransferase (ASMT) are the final two enzymes in the melatonin synthesis pathway in plants. Although their corresponding genes have been cloned, their cellular localization and enzymatic characteristics are unknown. Using confocal microscopy, we showed that SNAT protein is localized in chloroplasts, whereas ASMT is expressed in the cytoplasm. In vitro measurement of ASMT enzyme activity revealed a peak of activity in roots, but SNAT enzyme activity was not detected in any plant tissues. This may be attributed in part to an effect of chlorophyll because SNAT enzyme activity was greatly inhibited by chlorophyll in a dose-dependent manner. Because the SNAT protein of cyanobacteria is thermophilic, we examined the effect of temperature on the activity of the rice SNAT and ASMT enzymes. Purified recombinant rice SNAT and ASMT enzymes had an optimum temperature for activity of 55°C. The Km and Vmax values for SNAT at 55°C were 270 μm and 3.3 nmol/min/mg protein, whereas the Km and Vmax for ASMT were 222 μm and 9 nmol/min/mg protein, respectively. The catalytic efficiency (Vmax /Km ) values of SNAT and ASMT were 16-fold and 4054-fold higher at 55°C than at 30°C suggestive of increased melatonin production at high temperature in plants.
24270630	The distribution of different classes of nuclear localization signals (NLSs) in diverse organisms and the utilization of the minor NLS-binding site inplantnuclear import factor importin-α.	2013	Plant Signal Behav	The specific recognition between the import receptor importin-α and the nuclear localization signals (NLSs) is crucial to ensure the selective transport of cargoes into the nucleus. NLSs contain 1 or 2 clusters of positively charged amino acids, which usually bind to the major (monopartite NLSs) or both minor and major NLS-binding sites (bipartite NLSs). In our recent study, we determined the structure of importin-α1a from rice (Oryza sativa), and made 2 observations that suggest an increased utilization of the minor NLS-binding site in this protein. First, unlike the mammalian protein, both the major and minor NLS-binding sites are auto-inhibited in the unliganded rice protein. Second, we showed that NLSs of the "plant-specific" class preferentially bind to the minor NLS-binding site of rice importin-α. Here, we show that a distinct group of "minor site-specific" NLSs also bind to the minor site of the rice protein. We further show a greater enrichment of proteins containing these "plant-specific" and "minor site-specific" NLSs in the rice proteome. However, the analysis of the distribution of different classes of NLSs in diverse eukaryotes shows that in all organisms, the minor site-specific NLSs are much less prevalent than the classical monopartite and bipartite NLSs.
24173698	Ascorbate metabolism in rice genotypes differing in zinc efficiency.	2014	Planta	Effects of zinc (Zn) deficiency on shoot metabolites were investigated in contrasting rice (Oryza sativa L.) genotypes with special focus on ascorbic acid (AsA) biosynthesis, recycling, and catabolism. The genotypes IR74 (sensitive) and RIL46 (tolerant) were subjected to -Zn and control treatments for 3 weeks, and samples were taken at three different stages representing the pre-stress phase, emergence of visible stress, and severe visible stress. The emergence of visible symptoms was paralleled by an increase in lipid peroxidation and a decrease in AsA concentration in the sensitive, but not in the tolerant genotype. The tolerant RIL46 showed enhanced transcript levels of several genes involved in the mannose/L-galactose pathway to AsA biosynthesis, and significant up-regulation of a gene involved in the putative alternative myo-inositol pathway under low Zn stress. The level of most AsA precursors was negatively affected by Zn deficiency, but RIL46 had a constitutively higher level of non-phosphorylated precursors. Products of AsA catabolism such as oxalate and threonate did not accumulate in either genotype, suggesting that AsA degradation did not contribute to the stress-induced decline of the AsA pool in IR74. Further factors possibly contributing to tolerance in RIL46 included an almost fivefold higher proline level under -Zn stress and significantly higher trehalose content. The implications of these compounds in AsA metabolism and Zn efficiency thus deserve further attention.
24032669	A survey of mycotoxins in domestic rice in Iran by liquid chromatography tandem mass spectrometry.	2014	Toxicol Mech Methods	In this study, a liquid chromatography/tandem mass spectrometry (LC-MS/MS) method was applied for the simultaneous detection and quantification of a broad spectrum of mycotoxins and fungal metabolites in domestic rice in Iran. A total of 20 fungal metabolites were detected in 65 rice samples. The result showed that all of the samples were contaminated to at least one mycotoxin. The most prevalent fungal metabolites were brevianamide F (81.5%), emodin (46.1%) and tryptophol (43.1%). The occurrence of aflatoxin B1 (AFB1), ochratoxin A (OTA), zearalenone (ZEN) and fumonisin B1 (FB1) was 21.5%, 4.6%, 29.2% and 9.2%, respectively. No detectable level of deoxynivelenol was found in any of the samples. The mean level of regulated mycotoxins was lower than the maximum limit. Co-occurrence of AF1-ZEN, ZEN-OTA and FB1-ZEN were observed in 4.6%, 3.1% and 4.6% of samples, respectively. This is the first report indicating the contamination of domestic rice in Iran with mycotoxins such as alternaria metabolites, citrinin, tryptophol and kojic acid.
24093800	Transcriptome analysis of heat stress response in switchgrass (Panicum virgatum L.).	2013	BMC Plant Biol	BACKGROUND: Global warming predictions indicate that temperatures will increase by another 2-6°C by the end of this century. High temperature is a major abiotic stress limiting plant growth and productivity in many areas of the world. Switchgrass (Panicum virgatum L.) is a model herbaceous bioenergy crop, due to its rapid growth rate, reliable biomass yield, minimal requirements of water and nutrients, adaptability to grow on marginal lands and widespread distribution throughout North America. The effect of high temperature on switchgrass physiology, cell wall composition and biomass yields has been reported. However, there is void in the knowledge of the molecular responses to heat stress in switchgrass.

RESULTS: We conducted long-term heat stress treatment (38°/30°C, day/night, for 50 days) in the switchgrass cultivar Alamo. A significant decrease in the plant height and total biomass was evident in the heat stressed plants compared to controls. Total RNA from control and heat stress samples were used for transcriptome analysis with switchgrass Affymetrix genechips. Following normalization and pre-processing, 5365 probesets were identified as differentially expressed using a 2-fold cutoff. Of these, 2233 probesets (2000 switchgrass unigenes) were up-regulated, and 3132 probesets (2809 unigenes) were down-regulated. Differential expression of 42 randomly selected genes from this list was validated using RT-PCR. Rice orthologs were retrieved for 78.7% of the heat stress responsive switchgrass probesets. Gene ontology (GOs) enrichment analysis using AgriGO program showed that genes related to ATPase regulator, chaperone binding, and protein folding was significantly up-regulated. GOs associated with protein modification, transcription, phosphorus and nitrogen metabolic processes, were significantly down-regulated by heat stress.

CONCLUSIONS: Plausible connections were identified between the identified GOs, physiological responses and heat response phenotype observed in switchgrass plants. Comparative transcriptome analysis in response to heat stress among four monocots - switchgrass, rice, wheat and maize identified 16 common genes, most of which were associated with protein refolding processes. These core genes will be valuable biomarkers for identifying heat sensitive plant germplasm since they are responsive to both short duration as well as chronic heat stress treatments, and are also expressed in different plant growth stages and tissue types.
24173642	Crystal structure of XoLAP, a leucine aminopeptidase, from Xanthomonas oryzae pv. oryzae.	2013	J Microbiol	Aminopeptidases are metalloproteinases that degrade N-terminal residues from protein and play important roles in cell growth and development by controlling cell homeostasis and protein maturation. We determined the crystal structure of XoLAP, a leucyl aminopeptidase, at 2.6 Å resolution from Xanthomonas oryzae pv. oryzae, causing the destructive rice disease of bacterial blight. It is the first crystal structure of aminopeptidase from phytopathogens as a drug target. XoLAP existed as a hexamer and the monomer structure consisted of an N-terminal cap domain and a C-terminal peptidase domain with two divalent zinc ions. XoLAP structure was compared with BlLAP and EcLAP (EcPepA) structures. Based on the structural comparison, the molecular model of XoLAP in complex with the natural aminopeptidase inhibitor of microginin FR1 was proposed. The model structure will be useful to develop a novel antibacterial drug against Xoo.
